"","work_year","experience_level","employment_type","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","discipline","role","leadership","standardized_year","standardized_remote_ratio"
"1",2020,"1","FT",79833,"DE",0,"DE","3","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"2",2020,"2","FT",260000,"JP",0,"JP","1","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"3",2020,"2","FT",109024,"GB",50,"GB","2","Data Science","Engineering","0",-2.03034945335895,-0.513952766757793
"4",2020,"1","FT",20000,"HN",0,"HN","1","Data Science","Analyst","0",-2.03034945335895,-1.74217847314354
"5",2020,"2","FT",150000,"US",50,"US","3","Machine Learning","Engineering","0",-2.03034945335895,-0.513952766757793
"6",2020,"0","FT",72000,"US",100,"US","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"7",2020,"2","FT",190000,"US",100,"US","1","Data Science","Research","1",-2.03034945335895,0.714272939627956
"8",2020,"1","FT",35735,"HU",50,"HU","3","Data Science","Research","0",-2.03034945335895,-0.513952766757793
"9",2020,"1","FT",135000,"US",100,"US","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"10",2020,"2","FT",125000,"NZ",50,"NZ","1","Data Science","Engineering","1",-2.03034945335895,-0.513952766757793
"11",2020,"0","FT",51321,"FR",0,"FR","1","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"12",2020,"1","FT",40481,"IN",0,"IN","3","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"13",2020,"0","FT",39916,"FR",0,"FR","2","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"14",2020,"1","FT",87000,"US",100,"US","3","Data Science","Analyst","1",-2.03034945335895,0.714272939627956
"15",2020,"1","FT",85000,"US",100,"US","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"16",2020,"1","FT",8000,"PK",50,"PK","3","Data Science","Analyst","0",-2.03034945335895,-0.513952766757793
"17",2020,"0","FT",41689,"JP",100,"JP","1","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"18",2020,"2","FT",114047,"PL",100,"GB","1","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"19",2020,"0","FT",5707,"IN",50,"IN","2","Data Science","Research","0",-2.03034945335895,-0.513952766757793
"20",2020,"1","FT",56000,"PT",100,"US","2","Data Science","Engineering","1",-2.03034945335895,0.714272939627956
"21",2020,"1","FT",43331,"CN",0,"CN","2","Machine Learning","Engineering","0",-2.03034945335895,-1.74217847314354
"22",2020,"1","FT",6072,"IN",100,"IN","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"23",2020,"2","FT",47899,"GR",50,"GR","3","Data Science","Engineering","0",-2.03034945335895,-0.513952766757793
"24",2020,"1","FT",98000,"US",0,"US","2","Data Science","Analyst","0",-2.03034945335895,-1.74217847314354
"25",2020,"1","FT",115000,"AE",0,"AE","3","Data Science","Research","1",-2.03034945335895,-1.74217847314354
"26",2020,"3","FT",325000,"US",100,"US","3","Data Science","Research","1",-2.03034945335895,0.714272939627956
"27",2020,"0","FT",42000,"NL",50,"NL","3","Data Science","Research","0",-2.03034945335895,-0.513952766757793
"28",2020,"2","FT",33511,"MX",0,"MX","1","Data Science","Engineering","0",-2.03034945335895,-1.74217847314354
"29",2020,"0","CT",100000,"US",100,"US","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"30",2020,"2","FT",117104,"CA",50,"CA","3","Machine Learning","Unspecified","1",-2.03034945335895,-0.513952766757793
"31",2020,"1","FT",59303,"DE",100,"DE","1","Data Science","Engineering","1",-2.03034945335895,0.714272939627956
"32",2020,"0","FT",70000,"US",100,"US","3","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"33",2020,"2","FT",68428,"GR",100,"US","3","Data Science","Research","0",-2.03034945335895,0.714272939627956
"34",2020,"1","FT",450000,"US",0,"US","2","Data Science","Research","0",-2.03034945335895,-1.74217847314354
"35",2020,"1","FT",46759,"FR",50,"FR","3","Data Science","Analyst","0",-2.03034945335895,-0.513952766757793
"36",2020,"1","FT",74130,"AT",50,"AT","3","Data Science","Engineering","0",-2.03034945335895,-0.513952766757793
"37",2020,"1","FT",103000,"US",100,"US","3","Data Science","Research","0",-2.03034945335895,0.714272939627956
"38",2020,"0","FT",250000,"US",50,"US","3","Machine Learning","Engineering","0",-2.03034945335895,-0.513952766757793
"39",2020,"0","FT",10000,"NG",100,"NG","1","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"40",2020,"0","FT",138000,"US",100,"US","1","Machine Learning","Engineering","0",-2.03034945335895,0.714272939627956
"41",2020,"1","FT",45760,"PH",100,"US","1","Data Science","Research","0",-2.03034945335895,0.714272939627956
"42",2020,"3","FT",79833,"ES",50,"ES","3","Data Science","Engineering","1",-2.03034945335895,-0.513952766757793
"43",2020,"1","FT",50180,"PT",0,"PT","2","Machine Learning","Engineering","0",-2.03034945335895,-1.74217847314354
"44",2020,"1","FT",106000,"US",100,"US","3","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"45",2020,"1","FT",112872,"GB",50,"GB","3","Data Science","Engineering","0",-2.03034945335895,-0.513952766757793
"46",2020,"0","PT",15966,"DE",100,"DE","1","Machine Learning","Engineering","0",-2.03034945335895,0.714272939627956
"47",2020,"1","FT",76958,"GB",100,"GB","1","Data Science","Research","0",-2.03034945335895,0.714272939627956
"48",2020,"2","FT",188000,"US",100,"US","3","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"49",2020,"1","FT",105000,"US",100,"US","3","Data Science","Research","0",-2.03034945335895,0.714272939627956
"50",2020,"1","FT",70139,"FR",50,"FR","3","Data Science","Engineering","0",-2.03034945335895,-0.513952766757793
"51",2020,"0","FT",6072,"IN",0,"IN","1","Data Science","Analyst","0",-2.03034945335895,-1.74217847314354
"52",2020,"0","FT",91000,"US",100,"US","3","Data Science","Analyst","0",-2.03034945335895,0.714272939627956
"53",2020,"0","FT",45896,"DK",50,"DK","1","Data Science","Research","0",-2.03034945335895,-0.513952766757793
"54",2020,"0","FT",54742,"PK",100,"DE","3","Data Science","Engineering","0",-2.03034945335895,0.714272939627956
"55",2020,"2","FL",60000,"RU",100,"US","1","Artificial Intelligence","Engineering","0",-2.03034945335895,0.714272939627956
